{'accuracy': 0.8106666666666666, 'conicity_mean': '0.1948118', 'conicity_std': '0.025647918', 'entropy_mean': '0.010286575', 'entropy_std': '0.006786469'}
{'accuracy': 0.81, 'conicity_mean': '0.19481942', 'conicity_std': '0.02565059', 'entropy_mean': '0.010298724', 'entropy_std': '0.0067840284'}
{'accuracy': 0.812, 'conicity_mean': '0.19483753', 'conicity_std': '0.025648773', 'entropy_mean': '0.01029898', 'entropy_std': '0.006788221'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19483395', 'conicity_std': '0.025651015', 'entropy_mean': '0.010274284', 'entropy_std': '0.006784465'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19486766', 'conicity_std': '0.025655504', 'entropy_mean': '0.010269557', 'entropy_std': '0.0067813373'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19484337', 'conicity_std': '0.02564485', 'entropy_mean': '0.010246271', 'entropy_std': '0.0067762365'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19487806', 'conicity_std': '0.025659006', 'entropy_mean': '0.010231525', 'entropy_std': '0.0067871273'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19488119', 'conicity_std': '0.025661416', 'entropy_mean': '0.010212488', 'entropy_std': '0.006772726'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19490273', 'conicity_std': '0.025657408', 'entropy_mean': '0.010216223', 'entropy_std': '0.006779329'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19490586', 'conicity_std': '0.025646063', 'entropy_mean': '0.010227605', 'entropy_std': '0.0067797424'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19491988', 'conicity_std': '0.025650423', 'entropy_mean': '0.01024444', 'entropy_std': '0.006782164'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19494243', 'conicity_std': '0.02566263', 'entropy_mean': '0.010184353', 'entropy_std': '0.006776314'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19493628', 'conicity_std': '0.025653325', 'entropy_mean': '0.010183983', 'entropy_std': '0.0067768525'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19495727', 'conicity_std': '0.025642749', 'entropy_mean': '0.010213045', 'entropy_std': '0.0067784484'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19496334', 'conicity_std': '0.025661971', 'entropy_mean': '0.010168755', 'entropy_std': '0.0067700013'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19497582', 'conicity_std': '0.025656052', 'entropy_mean': '0.010183019', 'entropy_std': '0.006785097'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.194986', 'conicity_std': '0.025649471', 'entropy_mean': '0.01018401', 'entropy_std': '0.00677582'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19498606', 'conicity_std': '0.025640192', 'entropy_mean': '0.010172399', 'entropy_std': '0.0067835427'}
{'accuracy': 0.81, 'conicity_mean': '0.19501077', 'conicity_std': '0.025653448', 'entropy_mean': '0.010149639', 'entropy_std': '0.0067795175'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19502711', 'conicity_std': '0.025651028', 'entropy_mean': '0.010136311', 'entropy_std': '0.006782312'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19504274', 'conicity_std': '0.025651747', 'entropy_mean': '0.010162714', 'entropy_std': '0.0067803157'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19504191', 'conicity_std': '0.025631782', 'entropy_mean': '0.010173793', 'entropy_std': '0.006778262'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19505212', 'conicity_std': '0.025651349', 'entropy_mean': '0.010139426', 'entropy_std': '0.0067714956'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19507292', 'conicity_std': '0.025649846', 'entropy_mean': '0.010127601', 'entropy_std': '0.0067764153'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19508146', 'conicity_std': '0.025640804', 'entropy_mean': '0.010131654', 'entropy_std': '0.006780989'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19510274', 'conicity_std': '0.025645897', 'entropy_mean': '0.010151577', 'entropy_std': '0.006778626'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19510388', 'conicity_std': '0.0256481', 'entropy_mean': '0.010127834', 'entropy_std': '0.006777787'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19512227', 'conicity_std': '0.025647651', 'entropy_mean': '0.010125333', 'entropy_std': '0.0067818104'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.1951254', 'conicity_std': '0.0256476', 'entropy_mean': '0.0101309065', 'entropy_std': '0.006780441'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19513218', 'conicity_std': '0.025638176', 'entropy_mean': '0.0101499045', 'entropy_std': '0.0067846524'}
{'accuracy': 0.8106666666666666, 'conicity_mean': '0.19514999', 'conicity_std': '0.02564714', 'entropy_mean': '0.010119639', 'entropy_std': '0.006773787'}
{'accuracy': 0.8113333333333334, 'conicity_mean': '0.19515373', 'conicity_std': '0.02564542', 'entropy_mean': '0.010107793', 'entropy_std': '0.006779528'}
